"","시간","규모","진앙(km)","위도","경도","행정구역","시군구"
"235","2018-04-26 5:37",1.6,16,35.79,126.6,"전북"," 부안군 서북서쪽 14km 해역"
"236","2018-04-26 18:43",1.9,16,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"237","2018-04-27 5:36",0.8,10,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"238","2018-04-27 7:04",1.6,17,36.06,129.5,"경북"," 포항시 북구 동쪽 12km 해역"
"239","2018-04-27 7:44",1.4,7,36.14,129.37,"경북"," 포항시 북구 북쪽 11km 지역"
"240","2018-04-28 12:49",1.4,20,38.36,128.86,"강원"," 속초시 북동쪽 29km 해역"
"241","2018-04-29 2:37",1,8,35.59,129.47,"울산"," 북구 동쪽 10km 해역"
"242","2018-05-01 1:39",1.7,15,36.44,127.53,"충북"," 보은군 서남서쪽 19km 지역"
"243","2018-05-01 7:34",1.6,15,36.95,126.48,"충남"," 서산시 북쪽 19km 지역"
"244","2018-05-01 10:49",1.1,7,38.13,127.1,"경기"," 연천군 북북동쪽 4km 지역"
"245","2018-05-02 3:17",1.7,7,36.12,129.36,"경북"," 포항시 북구 북쪽 9km 지역"
"246","2018-05-02 3:28",0.9,7,36.72,128.01,"경북"," 문경시 북서쪽 22km 지역"
"247","2018-05-08 2:41",1.7,14,36.61,129.08,"경북"," 영양군 남남서쪽 7km 지역"
"248","2018-05-08 6:45",1.3,12,36.6,129.07,"경북"," 영양군 남서쪽 6km 지역"
"249","2018-05-08 7:08",1.9,15,36.61,129.08,"경북"," 영양군 남남서쪽 7km 지역"
"250","2018-05-09 12:48",1.5,15,36.05,129.49,"경북"," 포항시 남구 동북동쪽 13km 해역"
"251","2018-05-09 16:20",1,13,35.76,129.18,"경북"," 경주시 남쪽 8km 지역"
"252","2018-05-12 0:56",1.3,20,35.88,129.77,"경북"," 포항시 남구 동남동쪽 40km 해역"
"253","2018-05-13 5:23",0.6,12,35.75,129.17,"경북"," 경주시 남남서쪽 11km 지역"
"254","2018-05-13 19:10",1.2,13,36.49,128.26,"경북"," 상주시 북동쪽 13km 지역"
"255","2018-05-13 20:21",1.1,12,36.61,129.44,"경북"," 영덕군 북북동쪽 23km 해역"
"256","2018-05-15 4:05",1.2,4,35.23,127.59,"전남"," 구례군 동북동쪽 12km 지역"
"257","2018-05-15 9:02",1.9,7,33.49,128.08,"전남"," 여수시 거문도 남동쪽 93km 해역"
